Selection;View;Channel;Duet;Agg.Entropy..bits.;Avg.Entropy..bits.;Peak.Freq..Hz.;Delta.Freq..Hz.;Delta.Time..s.;Max.Entropy..bits.;Min.Entropy..bits.;PFC.Avg.Slope..Hz.ms.;PFC.Max.Freq..Hz.;PFC.Max.Slope..Hz.ms.;PFC.Min.Freq..Hz.;PFC.Min.Slope..Hz.ms.;Peak.Time.Relative;Time.25..Rel.;Time.5..Rel.;Time.75..Rel.;Time.95..Rel.;Begin.Time..s.;End.Time..s.;High.Freq..Hz.;Low.Freq..Hz.;Freq.5...Hz.;Freq.95...Hz.;Center.Time..s.;Dur.90...s.;Freq.25...Hz.;Freq.75...Hz.;BW.50...Hz.;BW.90...Hz.;Time.25...s.;Time.95...s.;Dur.50...s.;Sex;Species;Individual;Sex_Species;Begin.File
1;Spectrogram 1;1;1;3.588;2.802;1722.656;2504.9;2.0976;4.046;1.358;-0.206;2583.984;192.89;775.195;-178.053;0.6399;0.277;0.0859;0.7562;0.9501;1.375329469;3.47295427;3255.3;750.4;1291.992;2153.32;2.5658;1.8112;1636.523;1894.922;258.398;861.328;1.9563;3.3669;1.0043;1;T_doliatus;G1_I1_T_doliatus;1_T_doliatus;T0001.WAV
2;Spectrogram 1;1;1;4.144;3.216;1636.523;2712.9;1.4941;4.143;1.653;-1.043;2411.719;178.053;775.195;-148.377;0.2422;0.1797;0.0156;0.6406;0.8672;3.403693074;4.897756022;3405.6;692.7;861.328;2325.586;4.017;1.2655;1378.125;1808.789;430.664;1464.258;3.6745;4.6962;0.685;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
3;Spectrogram 1;1;1;3.837;2.944;1550.391;2764;1.8701;3.898;1.539;0.046;2325.586;148.377;1033.594;-148.377;0.3364;0.3364;0.1371;0.8131;0.947;7.264982218;9.135034517;3746.7;982.7;1119.727;2153.32;8.3069;1.5093;1378.125;1808.789;430.664;1033.594;7.8948;9.0326;0.8882;1;T_doliatus;G1_1_T_doliatus;1_T_doliatus;T0001.WAV
4;Spectrogram 1;1;0;3.862;3.049;1550.391;3255.3;1.9987;4.206;1.503;-0.087;2153.32;163.215;947.461;-178.053;0.309;0.379;0.1312;0.8251;0.9534;13.38220747;15.3808877;4176.6;921.3;1033.594;2153.32;14.5647;1.637;1464.258;1808.789;344.531;1119.727;14.1409;15.2845;0.8882;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
5;Spectrogram 1;1;1;3.678;3.013;1808.789;3009.7;2.2263;4.049;1.426;0;2153.32;192.89;775.195;-178.053;0.9556;0.483;0.1828;0.8668;0.9582;27.21127868;29.43753142;3746.7;737;1033.594;2067.188;28.845;1.7241;1550.391;1808.789;258.398;1033.594;28.2877;29.3442;0.8533;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
6;Spectrogram 1;1;1;3.603;2.856;1808.789;2886.8;2.622;4.177;1.402;-0.164;2239.453;192.89;947.461;-178.053;0.184;0.1752;0.0377;0.6208;0.8537;28.85375848;31.47578948;3808.1;921.3;1119.727;2067.188;29.8957;2.1362;1550.391;1808.789;258.398;947.461;29.3152;31.0915;1.1668;1;T_doliatus;G1_1_T_doliatus;1_T_doliatus;T0001.WAV
7;Spectrogram 1;1;0;3.711;3.044;1550.391;3685.2;1.7909;4.339;1.419;-0.048;2325.586;192.89;861.328;-148.377;0.6851;0.3636;0.1494;0.7532;0.9481;31.75283426;33.54373091;4483.7;798.5;1033.594;2067.188;32.833;1.428;1464.258;1722.656;258.398;1033.594;32.4034;33.4483;0.6966;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
8;Spectrogram 1;1;1;3.674;2.964;1636.523;2702.5;2.5231;4.081;1.402;-0.034;2411.719;178.053;947.461;-163.215;0.7113;0.3972;0.1848;0.7945;0.9677;40.63507106;43.15815749;3623.8;921.3;1119.727;2067.188;42.179;1.9679;1464.258;1808.789;344.531;947.461;41.6392;43.073;0.9985;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
9;Spectrogram 1;1;1;3.704;3.033;1722.656;2763.9;1.9789;4.145;1.423;0.219;2670.117;192.89;861.328;-163.215;0.3735;0.2794;0.0794;0.7529;0.9529;43.09879075;45.07768207;3623.8;859.9;1033.594;2239.453;44.0366;1.7241;1636.523;1894.922;258.398;1205.859;43.6535;44.9828;0.9346;1;T_doliatus;G1_1_T_doliatus;1_T_doliatus;T0001.WAV
10;Spectrogram 1;1;0;3.918;3.132;1636.523;2886.8;1.9492;4.104;1.652;0;2325.586;207.728;775.195;-163.215;0.5522;0.3075;0.0836;0.7224;0.9522;45.87957742;47.82878538;3623.8;737;861.328;2067.188;46.9275;1.6893;1378.125;1722.656;344.531;1205.859;46.4805;47.7344;0.8069;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
